Department,EducationField,JobRole,BusinessTravel,MaritalStatus,Employee Source,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,StockOptionLevel,Age,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education,JobLevel,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,TrainingTimesLastYear,Gender,DistanceFromHome,Company Website,LoyaltyFactor,TotalEarnInCompany,JobMatchFactor,SatisfactionCounts,Attrition
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,8,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Human Resources,Human Resources,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,8,1,11,4,1,4,1,1,3,0,1,6,0,0.75,503412,1,7,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,4,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Human Resources,Marketing,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,5,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,0,7,1
Human Resources,Human Resources,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,8,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,1,7,1
Human Resources,Marketing,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,5,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,0,7,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,8,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,4,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,8,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Sales,Life Sciences,Manager,Travel_Rarely,Divorced,Company Website,33,1102,19730,14756,3,41,21,5,0,0,2,2,4,2,1,14,3,4,3,3,3,3,2,1,1,1,0.2381,1221797,0,13,1
Sales,Life Sciences,Manager,Travel_Rarely,Married,Indeed,41,1102,3854,19566,0,41,33,29,8,11,10,2,5,5,0,11,3,1,1,4,1,3,5,1,1,0,0.8788,7043760,0,7,1
Human Resources,Human Resources,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,8,1,11,4,1,4,1,1,3,0,1,6,0,0.75,503412,1,7,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,4,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Human Resources,Marketing,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,5,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,0,7,1
Human Resources,Human Resources,Human Resources,Travel_Rarely,Married,Referral,77,807,8635,2342,0,37,8,6,4,0,5,4,1,0,0,21,4,1,1,1,1,2,0,1,6,0,0.75,196728,0,4,1
Human Resources,Marketing,Sales Executive,Travel_Rarely,Single,Referral,37,807,19479,5993,0,37,8,6,4,0,5,4,2,5,1,11,3,1,4,1,1,3,0,1,6,0,0.75,503412,0,7,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,8,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Referral,94,1102,19479,5993,0,41,8,6,4,0,5,2,2,4,1,11,3,2,4,1,1,3,0,1,1,0,0.75,503412,1,8,1
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,1,0,23,3,3,2,4,3,2,3,0,8,0,1,711018,0,12,0
Human Resources,Human Resources,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,10,10,7,1,7,4,2,1,0,23,3,1,2,4,3,2,3,0,2,0,1,711018,1,10,0
Human Resources,Life Sciences,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,10,10,7,1,7,4,2,2,0,23,3,1,2,4,3,2,3,0,2,0,1,711018,0,10,0
Research & Development,Marketing,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,3,0,23,3,3,2,4,3,2,3,0,8,0,1,711018,1,12,0
Research & Development,Life Sciences,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,1,0,23,4,3,2,4,3,2,3,0,8,0,1,711018,0,12,0
Research & Development,Marketing,Research Scientist,Travel_Frequently,Married,Seek,61,279,24907,5130,1,49,10,10,7,1,7,1,2,3,0,23,4,3,2,4,3,2,3,0,8,0,1,711018,1,12,0
Human Resources,Human Resources,Research Scientist,Non-Travel,Married,Seek,37,1420,24907,5130,1,59,10,10,7,1,7,4,2,1,0,23,4,1,2,4,3,2,3,0,2,0,1,711018,1,10,0
